employee_number,arrive_time,rubbish_1,rubbish_2,rubbish_3,rubbish_4
8,13/04/2022 08:33,1,0,1,0
12,13/04/2022 08:34,1,0,1,0
7,13/04/2022 08:42,1,0,1,0
2,13/04/2022 08:58,1,0,1,0
6,13/04/2022 09:01,1,0,1,0
3,13/04/2022 09:01,1,0,1,0
9,13/04/2022 09:13,1,0,1,0
13,13/04/2022 09:17,1,0,1,0
1,13/04/2022 14:23,1,0,1,0
7,13/04/2022 18:43,1,0,1,0
14,14/04/2022 08:19,1,0,1,0
12,14/04/2022 08:22,1,0,1,0
1,14/04/2022 08:29,1,0,1,0
8,14/04/2022 08:46,1,0,1,0
2,14/04/2022 08:55,1,0,1,0
10,14/04/2022 08:55,1,0,1,0
7,14/04/2022 09:07,1,0,1,0
9,14/04/2022 09:09,1,0,1,0
13,14/04/2022 09:14,1,0,1,0
3,14/04/2022 10:06,1,0,1,0
3,14/04/2022 10:06,1,0,1,0
7,14/04/2022 13:26,1,0,1,0
6,14/04/2022 13:55,1,0,1,0
14,18/04/2022 08:16,1,0,1,0
7,18/04/2022 08:47,1,0,1,0
1,18/04/2022 08:55,1,0,1,0
6,18/04/2022 08:57,1,0,1,0
3,18/04/2022 09:00,1,0,1,0
2,18/04/2022 09:02,1,0,1,0
12,18/04/2022 09:05,1,0,1,0
10,18/04/2022 09:08,1,0,1,0
9,18/04/2022 09:25,1,0,1,0
8,18/04/2022 13:43,1,0,1,0
8,18/04/2022 13:43,1,0,1,0
10,18/04/2022 17:59,1,0,1,0
14,19/04/2022 08:18,1,0,1,0
7,19/04/2022 08:32,1,0,1,0
8,19/04/2022 08:33,1,0,1,0
10,19/04/2022 08:42,1,0,1,0
2,19/04/2022 08:52,1,0,1,0
6,19/04/2022 08:55,1,0,1,0
9,19/04/2022 09:01,1,0,1,0
9,19/04/2022 09:01,1,0,1,0
3,19/04/2022 09:04,1,0,1,0
12,19/04/2022 09:05,1,0,1,0
7,19/04/2022 19:07,1,0,1,0
14,20/04/2022 08:17,1,0,1,0
8,20/04/2022 08:36,1,0,1,0
7,20/04/2022 08:38,1,0,1,0
6,20/04/2022 08:45,1,0,1,0
3,20/04/2022 08:48,1,0,1,0
2,20/04/2022 09:00,1,0,1,0
13,20/04/2022 09:01,1,0,1,0
12,20/04/2022 09:05,1,0,1,0
10,20/04/2022 09:07,1,0,1,0
9,20/04/2022 09:22,1,0,1,0
7,20/04/2022 18:10,1,0,1,0
10,20/04/2022 18:10,1,0,1,0
14,21/04/2022 08:15,1,0,1,0
7,21/04/2022 08:20,1,0,1,0
8,21/04/2022 08:24,1,0,1,0
10,21/04/2022 08:40,1,0,1,0
12,21/04/2022 08:58,1,0,1,0
6,21/04/2022 09:01,1,0,1,0
13,21/04/2022 09:02,1,0,1,0
3,21/04/2022 09:02,1,0,1,0
2,21/04/2022 09:08,1,0,1,0
9,21/04/2022 09:08,1,0,1,0
7,21/04/2022 18:42,1,0,1,0
14,22/04/2022 08:05,1,0,1,0
7,22/04/2022 08:27,1,0,1,0
8,22/04/2022 08:35,1,0,1,0
3,22/04/2022 08:39,1,0,1,0
12,22/04/2022 08:50,1,0,1,0
2,22/04/2022 08:58,1,0,1,0
10,22/04/2022 09:05,1,0,1,0
13,22/04/2022 09:07,1,0,1,0
6,22/04/2022 09:08,1,0,1,0
7,22/04/2022 18:26,1,0,1,0
14,23/04/2022 08:02,1,0,1,0
3,23/04/2022 08:39,1,0,1,0
8,23/04/2022 08:53,1,0,1,0
10,23/04/2022 08:59,1,0,1,0
12,23/04/2022 09:04,1,0,1,0
7,23/04/2022 09:08,1,0,1,0
2,23/04/2022 09:09,1,0,1,0
9,23/04/2022 09:09,1,0,1,0
14,25/04/2022 08:01,1,0,1,0
7,25/04/2022 08:35,1,0,1,0
3,25/04/2022 08:37,1,0,1,0
13,25/04/2022 08:55,1,0,1,0
12,25/04/2022 08:56,1,0,1,0
6,25/04/2022 08:56,1,0,1,0
10,25/04/2022 09:11,1,0,1,0
9,25/04/2022 09:20,1,0,1,0
8,25/04/2022 13:57,1,0,1,0
6,25/04/2022 18:18,1,0,1,0
7,25/04/2022 18:47,1,0,1,0
14,26/04/2022 08:07,1,0,1,0
7,26/04/2022 08:12,1,0,1,0
16,26/04/2022 08:13,1,0,1,0
8,26/04/2022 08:16,1,0,1,0
6,26/04/2022 08:39,1,0,1,0
10,26/04/2022 08:39,1,0,1,0
3,26/04/2022 08:42,1,0,1,0
12,26/04/2022 08:42,1,0,1,0
2,26/04/2022 08:50,1,0,1,0
13,26/04/2022 09:02,1,0,1,0
17,26/04/2022 09:04,1,0,0,0
2,26/04/2022 13:00,1,0,1,0
6,26/04/2022 13:01,1,0,1,0
10,26/04/2022 13:01,1,0,1,0
17,26/04/2022 13:02,1,0,0,0
8,26/04/2022 13:03,1,0,1,0
7,26/04/2022 13:15,1,0,1,0
3,26/04/2022 13:15,1,0,1,0
14,26/04/2022 13:20,1,0,1,0
17,26/04/2022 13:31,1,0,0,0
9,26/04/2022 13:31,1,0,1,0
9,26/04/2022 13:31,1,0,1,0
2,26/04/2022 13:44,1,0,1,0
10,26/04/2022 13:55,1,0,1,0
8,26/04/2022 14:01,1,0,1,0
8,26/04/2022 14:01,1,0,1,0
6,26/04/2022 14:01,1,0,1,0
3,26/04/2022 14:10,1,0,1,0
7,26/04/2022 14:18,1,0,1,0
14,26/04/2022 14:18,1,0,1,0
8,26/04/2022 17:19,1,0,1,0
17,26/04/2022 18:08,1,0,0,0
6,26/04/2022 18:08,1,0,1,0
17,27/04/2022 08:17,1,0,0,0
16,27/04/2022 08:17,1,0,1,0
8,27/04/2022 08:30,1,0,1,0
3,27/04/2022 08:39,1,0,1,0
6,27/04/2022 08:53,1,0,1,0
